#file,onset,offset,#item,sequence,syllables,type,place,vowel,position,speaker,question,new,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24
geo020s08a0006v01,1.009134,1.138134,2,t>e,2,ejective,coronal,e,initial,s08,question,new,5.28847862446861,5.28928166729184,5.28646591470901,5.3004705467908,5.29171310635135,5.30409116604142,5.30991485494357,5.32028236012655,5.31403371519141,5.30564495408417,5.30240400485518,5.31095517201299,5.31221780623075,5.30228149898247,5.29412559332941,5.28135532097681,5.2403502728735,5.20809611614965,5.31760466500669,5.38815487127397,5.35784727173375,5.27264667579513,5.27147583418258,5.25918248971071
geo020s08a0006v02,0.815716,0.944716,3,t>e,2,ejective,coronal,e,initial,s08,answer,echo,5.33683494794673,5.31676319145106,5.25939408915635,5.26717545184498,5.2610536172912,5.27332053268707,5.26898278416734,5.30838699721539,5.30189346468015,5.32307924503215,5.32143752396634,5.31770716354347,5.30682507316065,5.29068833938355,5.28228503275436,5.2868721188633,5.29533141302259,5.28125004489018,5.3088680122257,5.29269861086324,5.3347274026775,5.31652853206201,5.31990810011127,5.29470535106715
geo020s08a0007v01,0.828663,0.957663,4,ka,2,pulmonic,velar,a,initial,s08,question,new,5.06248363441731,5.24251656015369,5.45113587371291,5.2745972559243,5.11083893590713,5.23823768997197,5.15464616797822,5.36788074193335,5.36580029865005,5.30149082579544,5.19712150002099,5.25122575901419,5.28306767887449,5.26564230380652,5.3039285941235,5.32218622531222,5.33567384309157,5.35324437598925,5.36868449331349,5.36650344599913,5.32721381355845,5.28811853482108,5.30766603128793,5.3092221922211
geo020s08a0007v02,0.818329,0.947329,5,pa,2,pulmonic,labial,a,initial,s08,answer,new,5.32667010197748,5.21968424826974,5.25852140797283,5.2586192194413,5.27094565587716,5.302985454054,5.36143393969658,5.29536501263704,5.2800714170001,5.26443995251207,5.28415657412899,5.32690822475471,5.29655230975137,5.26647214744644,5.33246417148001,5.30846965720397,5.30631182553419,5.26663989150347,5.31223703686249,5.37451561683318,5.35948584045011,5.33293084807484,5.28197607192234,5.25317825417007
geo020s08a0008v01,0.809288,0.938288,6,pa,2,pulmonic,labial,a,initial,s08,question,new,5.40557677816122,5.40777203969358,5.33874648390216,5.20442528077291,5.266966524562,5.18272804793395,5.14949480041295,5.27008094457617,5.31322765368374,5.36600405201199,5.37154924075429,5.35199651252684,5.29838536423614,5.29247885556516,5.31724755455618,5.31315720937966,5.29486842578358,5.28380202687932,5.2591757302681,5.27145323541698,5.29380469976614,5.29148608639502,5.28758700154732,5.29192749473131
geo020s08a0008v02,0.718602,0.847602,7,pa,2,pulmonic,labial,a,initial,s08,answer,echo,5.38444781396646,5.32157626894011,5.27298263534363,5.24546074553881,5.25608083036863,5.27501854467994,5.30840679663735,5.32236782177999,5.31583011917929,5.29819185867225,5.2697121095377,5.28792101124075,5.32223748572023,5.35321550566834,5.33448341897209,5.29887021369988,5.25491496229903,5.23488703114577,5.22057147749935,5.26824004489854,5.31581685345529,5.33135457812275,5.33060448238988,5.30447884559036
geo020s08a0009v01,0.864113,0.993113,8,k>a,3,ejective,velar,a,initial,s08,question,new,5.20747210414837,5.18767905892725,5.21463081981583,5.25333255283978,5.30656922611215,5.33438600173447,5.36174136058095,5.35779921800402,5.34295080826639,5.31078087336094,5.27632530418717,5.28346054854884,5.24317720877609,5.33666654618013,5.3140563562848,5.30785474085926,5.28376549984906,5.28450896791316,5.29876876465258,5.29795730173248,5.28971648477875,5.29099109483829,5.30155063390115,5.31647108612317
geo020s08a0013v01,0.609962,0.738962,13,t>e,2,ejective,coronal,e,initial,s08,question,new,5.43528410162081,5.27468019678188,5.32090874870891,5.29015817065451,5.32930718323478,5.36413226027544,5.34804804068024,5.28402014664721,5.27890975122435,5.23489076033721,5.26817254262933,5.30001242911742,5.34144773472258,5.37232126185738,5.37032169903112,5.34826210203865,5.3278217983795,5.29538306569498,5.24580280039583,5.18030492958118,5.27090557283331,5.24376191500164,5.37682489643894,5.38658004366835
geo020s08a0015v02,0.77701,0.90601,17,t>a,2,ejective,coronal,a,initial,s08,answer,new,5.32036355361213,5.2712719131974,5.26355768816624,5.27514494787714,5.27997517230017,5.28938357883977,5.29144128035858,5.31134908366439,5.32800480129276,5.30467411951484,5.29953212842598,5.30263055137848,5.28857455916038,5.28313875200776,5.29219969167679,5.29295049059879,5.28549501037565,5.2854798166865,5.32398170198475,5.32952141656866,5.33694126702867,5.31024396112677,5.29062535876266,5.27999808854512
geo020s08a0016v01,0.708639,0.837639,18,t>a,2,ejective,coronal,a,initial,s08,question,new,5.1879409589773,5.24653395207126,5.29021513191255,5.30696883444182,5.30206234535291,5.28804629926444,5.25775106850132,5.32067603810354,5.35312178970243,5.36105974433547,5.37168538643316,5.36895894483736,5.32217011435557,5.27298468665829,5.25686288038044,5.26202209012892,5.28725439694187,5.26562422238485,5.28454344006094,5.28123783825007,5.25292609459463,5.23843943463929,5.27969453302141,5.27305545443744
