type_2	type_1	by	score	n
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'question')	1.0	16
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'question')	1.0	112
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'question')	0.994214876033	2420
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'question')	0.846123573396	5082
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'answer')	1.0	14
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'answer')	0.821428571429	84
ejective	pulmonic	('coronal', 'o', 'initial', 's09', 'question')	1.0	4
pulmonic	ejective	('coronal', 'o', 'initial', 's09', 'question')	1.0	4
pulmonic	ejective	('velar', 'a', 'initial', 's08', 'question')	0.865497076023	342
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'answer')	0.973684210526	2508
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'answer')	0.841861598441	4104
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'question')	0.5	2
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'answer')	0.940178571429	1120
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'answer')	0.785197368421	3040
ejective	pulmonic	('velar', 'e', 'initial', 's08', 'answer')	1.0	14
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'answer')	0.630952380952	84
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'question')	0.94347826087	690
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'question')	0.884387351779	3036
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'question')	1.0	16
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'question')	0.723214285714	112
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'answer')	1.0	14
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'answer')	1.0	84
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'question')	0.809523809524	42
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
pulmonic	ejective	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'question')	1.0	16
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'question')	0.866071428571	112
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'answer')	1.0	14
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'answer')	0.880952380952	84
