type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.738095238095	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.539130434783	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.483036890646	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.535714285714	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.625	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	0.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.535714285714	84
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	0.5	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	0.5	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.503588516746	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.44761208577	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.5	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.477892561983	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.477174340811	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	0.428571428571	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.380952380952	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.821428571429	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.357142857143	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	0.5625	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.544642857143	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.4375	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.558035714286	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.426900584795	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.571428571429	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.475657894737	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	0.5	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.5	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.53125	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.522321428571	112
