type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.5	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.707246376812	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.805006587615	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.75	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.483333333333	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.868022328549	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.643518518519	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.5	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.771074380165	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.479142070051	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.97619047619	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.642857142857	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.678571428571	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	0.8125	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.821428571429	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.776785714286	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.672514619883	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.651785714286	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.666447368421	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.875	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.848214285714	112
