type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.690476190476	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.440579710145	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.537878787879	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.785714285714	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.369047619048	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	0.25	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.4	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.478070175439	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.47149122807	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	1.0	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.47520661157	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.58658008658	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	0.571428571429	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.630952380952	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.428571428571	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.654761904762	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	0.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.446428571429	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.3125	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.491071428571	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.479532163743	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.529464285714	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.470723684211	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	0.75	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.75	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.625	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.517857142857	112
