type_2	type_1	by	score	n
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'question')	0.5	16
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'question')	0.973214285714	112
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'question')	0.959090909091	2420
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'question')	0.924045651318	5082
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'answer')	0.214285714286	14
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'answer')	0.690476190476	84
ejective	pulmonic	('coronal', 'o', 'initial', 's09', 'question')	1.0	4
pulmonic	ejective	('coronal', 'o', 'initial', 's09', 'question')	1.0	4
pulmonic	ejective	('velar', 'a', 'initial', 's08', 'question')	0.190058479532	342
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'answer')	0.881180223285	2508
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'answer')	0.807748538012	4104
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'question')	1.0	2
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'answer')	0.658928571429	1120
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'answer')	0.794736842105	3040
ejective	pulmonic	('velar', 'e', 'initial', 's08', 'answer')	1.0	14
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'answer')	0.928571428571	84
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'question')	0.588405797101	690
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'question')	0.790843214756	3036
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'question')	0.4375	16
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'question')	0.732142857143	112
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'answer')	0.833333333333	12
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'answer')	0.916666666667	60
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'question')	1.0	42
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
pulmonic	ejective	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'question')	1.0	16
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'question')	0.875	112
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'answer')	0.857142857143	14
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'answer')	0.821428571429	84
