type_2	type_1	by	score	n
ejective	pulmonic	('coronal','e','initial','s08','question')	1.0	16
pulmonic	ejective	('coronal','e','initial','s08','question')	1.0	112
ejective	pulmonic	('labial','a','initial','s08','question')	0.98347107438	2420
pulmonic	ejective	('labial','a','initial','s08','question')	0.870720188902	5082
ejective	pulmonic	('velar','e','initial','s09','answer')	1.0	14
pulmonic	ejective	('velar','e','initial','s09','answer')	0.761904761905	84
ejective	pulmonic	('coronal','o','initial','s09','question')	1.0	4
pulmonic	ejective	('coronal','o','initial','s09','question')	1.0	4
pulmonic	ejective	('velar','a','initial','s08','question')	0.728070175439	342
ejective	pulmonic	('labial','a','initial','s08','answer')	0.999202551834	2508
pulmonic	ejective	('labial','a','initial','s08','answer')	0.853070175439	4104
ejective	pulmonic	('coronal','o','initial','s08','question')	1.0	2
ejective	pulmonic	('labial','a','initial','s09','answer')	0.935714285714	1120
pulmonic	ejective	('labial','a','initial','s09','answer')	0.639473684211	3040
ejective	pulmonic	('velar','e','initial','s08','answer')	1.0	14
pulmonic	ejective	('velar','e','initial','s08','answer')	0.809523809524	84
ejective	pulmonic	('labial','a','initial','s09','question')	0.950724637681	690
pulmonic	ejective	('labial','a','initial','s09','question')	0.745059288538	3036
ejective	pulmonic	('velar','e','initial','s09','question')	1.0	16
pulmonic	ejective	('velar','e','initial','s09','question')	0.785714285714	112
ejective	pulmonic	('coronal','e','initial','s08','answer')	1.0	14
pulmonic	ejective	('coronal','e','initial','s08','answer')	0.988095238095	84
pulmonic	ejective	('velar','e','initial','s08','question')	0.666666666667	42
ejective	pulmonic	('coronal','o','initial','s08','answer')	1.0	4
pulmonic	ejective	('coronal','o','initial','s08','answer')	0.5	4
ejective	pulmonic	('coronal','e','initial','s09','question')	0.9375	16
pulmonic	ejective	('coronal','e','initial','s09','question')	0.767857142857	112
ejective	pulmonic	('coronal','e','initial','s09','answer')	1.0	14
pulmonic	ejective	('coronal','e','initial','s09','answer')	0.75	84
