"","type_2","type_1","by","n","score_deltas","score_egg_1000"
"1","pulmonic","ejective","('velar','initial','question','s08','e')",42,0.619047619048,0.690476190476
"2","ejective","pulmonic","('labial','initial','question','s09','a')",690,0.415942028986,0.440579710145
"3","pulmonic","ejective","('labial','initial','question','s09','a')",3036,0.512845849802,0.537878787879
"4","ejective","pulmonic","('coronal','initial','answer','s09','e')",14,0.785714285714,0.785714285714
"5","pulmonic","ejective","('coronal','initial','answer','s09','e')",84,0.297619047619,0.369047619048
"6","ejective","pulmonic","('coronal','initial','answer','s08','e')",12,0.416666666667,0.25
"7","pulmonic","ejective","('coronal','initial','answer','s08','e')",60,0.366666666667,0.4
"8","ejective","pulmonic","('coronal','initial','question','s09','o')",4,1,1
"9","pulmonic","ejective","('coronal','initial','question','s09','o')",4,0.25,1
"10","ejective","pulmonic","('labial','initial','answer','s08','a')",2508,0.478468899522,0.478070175439
"11","pulmonic","ejective","('labial','initial','answer','s08','a')",4104,0.478557504873,0.47149122807
"12","ejective","pulmonic","('coronal','initial','question','s08','o')",2,1,1
"13","ejective","pulmonic","('labial','initial','question','s08','a')",2420,0.511157024793,0.47520661157
"14","pulmonic","ejective","('labial','initial','question','s08','a')",5082,0.577922077922,0.58658008658
"15","ejective","pulmonic","('velar','initial','answer','s08','e')",14,0.642857142857,0.571428571429
"16","pulmonic","ejective","('velar','initial','answer','s08','e')",84,0.5,0.630952380952
"17","ejective","pulmonic","('velar','initial','answer','s09','e')",14,0.714285714286,0.428571428571
"18","pulmonic","ejective","('velar','initial','answer','s09','e')",84,0.75,0.654761904762
"19","ejective","pulmonic","('coronal','initial','question','s08','e')",16,0,0
"20","pulmonic","ejective","('coronal','initial','question','s08','e')",112,0.4375,0.446428571429
"21","ejective","pulmonic","('coronal','initial','question','s09','e')",16,0.75,0.3125
"22","pulmonic","ejective","('coronal','initial','question','s09','e')",112,0.5625,0.491071428571
"23","pulmonic","ejective","('velar','initial','question','s08','a')",342,0.520467836257,0.479532163743
"24","ejective","pulmonic","('labial','initial','answer','s09','a')",1120,0.53125,0.529464285714
"25","pulmonic","ejective","('labial','initial','answer','s09','a')",3040,0.505263157895,0.470723684211
"26","ejective","pulmonic","('coronal','initial','answer','s08','o')",4,0.75,0.75
"27","pulmonic","ejective","('coronal','initial','answer','s08','o')",4,1,0.75
"28","ejective","pulmonic","('velar','initial','question','s09','e')",16,0.125,0.625
"29","pulmonic","ejective","('velar','initial','question','s09','e')",112,0.544642857143,0.517857142857
