type_2	type_1	by	score	n
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'i')	0.625	8
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'i')	1.0	24
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'i')	0.75	8
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'i')	0.291666666667	24
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.5	2
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	18
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.826388888889	144
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'a')	0.666666666667	60
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'a')	0.25	12
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	1.0	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.758169934641	306
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.666666666667	18
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.701388888889	144
ejective	pulmonic	('velar', 'medial', 'answer', 's08', 'i')	0.8	10
pulmonic	ejective	('velar', 'medial', 'answer', 's08', 'i')	0.725	40
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.702380952381	84
ejective	pulmonic	('labial', 'medial', 'answer', 's09', 'a')	0.472222222222	36
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'a')	0.666666666667	24
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.659636363636	2750
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.750303030303	6600
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.765756302521	952
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.740349264706	2176
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'i')	0.333333333333	6
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'a')	0.444444444444	36
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'a')	0.666666666667	24
pulmonic	ejective	('velar', 'medial', 'question', 's08', 'i')	0.666666666667	30
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('velar', 'medial', 'answer', 's09', 'i')	1.0	2
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'i')	0.75	8
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'i')	0.541666666667	24
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.847222222222	72
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	1.0	84
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.657272727273	2200
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.769138755981	4180
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	1.0	12
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.483333333333	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.821428571429	112
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'a')	0.642857142857	84
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'a')	1.0	14
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.936231884058	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.783596837945	3036
