type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.809523809524	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.484057971014	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.440711462451	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.642857142857	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.345238095238	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.559523809524	84
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	0.25	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	0.25	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.585725677831	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.532407407407	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	1.0	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.706611570248	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.492916174734	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.619047619048	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.285714285714	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.357142857143	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.553571428571	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.8125	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.214285714286	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.75730994152	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.404464285714	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.604934210526	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	0.25	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.75	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.5625	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.625	112
