position_2	position_1	by	score	n
initial	medial	('labial', 'pulmonic', 'question', 's09', 'a')	0.486111111111	72
medial	initial	('labial', 'pulmonic', 'question', 's09', 'a')	1.0	120
initial	medial	('velar', 'ejective', 'question', 's09', 'e')	0.277777777778	18
medial	initial	('velar', 'ejective', 'question', 's09', 'e')	0.888888888889	144
initial	medial	('coronal', 'ejective', 'question', 's08', 'i')	0.626923076923	780
medial	initial	('coronal', 'ejective', 'question', 's08', 'i')	0.911538461538	260
initial	medial	('coronal', 'ejective', 'answer', 's08', 'i')	0.623397435897	624
medial	initial	('coronal', 'ejective', 'answer', 's08', 'i')	0.75	156
initial	medial	('labial', 'ejective', 'question', 's09', 'e')	1.0	6
medial	initial	('labial', 'ejective', 'question', 's09', 'e')	1.0	12
initial	medial	('labial', 'ejective', 'question', 's08', 'i')	0.541666666667	72
medial	initial	('labial', 'ejective', 'question', 's08', 'i')	1.0	120
initial	medial	('labial', 'pulmonic', 'answer', 's09', 'u')	0.5	4
medial	initial	('labial', 'pulmonic', 'answer', 's09', 'u')	1.0	4
initial	medial	('labial', 'ejective', 'question', 's08', 'e')	1.0	8
medial	initial	('labial', 'ejective', 'question', 's08', 'e')	1.0	24
initial	medial	('coronal', 'ejective', 'answer', 's08', 'e')	1.0	12
medial	initial	('coronal', 'ejective', 'answer', 's08', 'e')	0.783333333333	60
initial	medial	('velar', 'ejective', 'answer', 's08', 'a')	0.588736263736	3640
medial	initial	('velar', 'ejective', 'answer', 's08', 'a')	0.728007518797	5320
initial	medial	('coronal', 'ejective', 'answer', 's09', 'e')	1.0	14
medial	initial	('coronal', 'ejective', 'answer', 's09', 'e')	0.964285714286	84
initial	medial	('labial', 'ejective', 'question', 's09', 'a')	0.572463768116	138
medial	initial	('labial', 'ejective', 'question', 's09', 'a')	0.907114624506	1518
initial	medial	('velar', 'ejective', 'question', 's08', 'a')	0.484686609687	2808
medial	initial	('velar', 'ejective', 'question', 's08', 'a')	0.816490698844	3978
initial	medial	('labial', 'pulmonic', 'answer', 's09', 'a')	0.833333333333	96
medial	initial	('labial', 'pulmonic', 'answer', 's09', 'a')	0.84375	224
initial	medial	('labial', 'pulmonic', 'answer', 's08', 'a')	0.985714285714	420
medial	initial	('labial', 'pulmonic', 'answer', 's08', 'a')	0.798412698413	630
initial	medial	('coronal', 'ejective', 'question', 's09', 'o')	0.5	12
medial	initial	('coronal', 'ejective', 'question', 's09', 'o')	1.0	6
initial	medial	('labial', 'ejective', 'answer', 's08', 'i')	0.25	72
medial	initial	('labial', 'ejective', 'answer', 's08', 'i')	0.883333333333	120
initial	medial	('coronal', 'ejective', 'answer', 's09', 'i')	0.416666666667	72
initial	medial	('velar', 'ejective', 'question', 's09', 'a')	0.389772727273	2640
medial	initial	('velar', 'ejective', 'question', 's09', 'a')	0.780921052632	4560
medial	initial	('velar', 'ejective', 'answer', 's09', 'e')	1.0	30
initial	medial	('labial', 'ejective', 'answer', 's09', 'a')	0.941176470588	102
medial	initial	('labial', 'ejective', 'answer', 's09', 'a')	0.656862745098	816
initial	medial	('coronal', 'ejective', 'question', 's08', 'o')	0.666666666667	6
initial	medial	('coronal', 'ejective', 'question', 's08', 'a')	0.377289377289	546
medial	initial	('coronal', 'ejective', 'question', 's08', 'a')	0.748168498168	1092
initial	medial	('labial', 'pulmonic', 'answer', 's08', 'u')	0.0	4
medial	initial	('labial', 'pulmonic', 'answer', 's08', 'u')	1.0	4
initial	medial	('coronal', 'ejective', 'question', 's09', 'i')	0.371794871795	546
medial	initial	('coronal', 'ejective', 'question', 's09', 'i')	0.964285714286	84
initial	medial	('coronal', 'ejective', 'answer', 's08', 'a')	0.466071428571	560
medial	initial	('coronal', 'ejective', 'answer', 's08', 'a')	0.681944444444	720
initial	medial	('labial', 'pulmonic', 'question', 's08', 'a')	0.60303030303	330
medial	initial	('labial', 'pulmonic', 'question', 's08', 'a')	0.825757575758	660
medial	initial	('coronal', 'ejective', 'question', 's09', 'e')	0.589285714286	56
initial	medial	('labial', 'ejective', 'answer', 's08', 'e')	1.0	8
medial	initial	('labial', 'ejective', 'answer', 's08', 'e')	1.0	24
initial	medial	('labial', 'ejective', 'answer', 's09', 'e')	0.75	4
medial	initial	('labial', 'ejective', 'answer', 's09', 'e')	0.5	4
medial	initial	('labial', 'pulmonic', 'question', 's08', 'u')	1.0	2
initial	medial	('velar', 'ejective', 'answer', 's09', 'a')	0.631944444444	1440
medial	initial	('velar', 'ejective', 'answer', 's09', 'a')	0.63875	2400
initial	medial	('coronal', 'ejective', 'question', 's08', 'e')	0.571428571429	14
medial	initial	('coronal', 'ejective', 'question', 's08', 'e')	0.630952380952	84
initial	medial	('labial', 'ejective', 'question', 's09', 'i')	0.566666666667	30
