#file onset_f offset_f onset_v offset_v item sequence syllables type place vowel position speaker question new bad_vot constriction vowelduration check_vowel good_vot 
geo020s08a0005v02 0.809773 0.938773 0.757926 0.968888 1_7258 t>e 2 ejective coronal e initial s08 answer new 60.63 74.03 136.94 e 50.10 
geo020s08a0006v01 1.009134 1.138134 0.956625 1.142602 1_1640 t>e 2 ejective coronal e initial s08 question new 64.47 74.01 111.97 e 18.38 
geo020s08a0006v02 0.815716 0.944716 0.759330 0.977385 1_7337 t>e 2 ejective coronal e initial s08 answer echo 94.54 78.24 139.82 e 76.38 
geo020s08a0007v01 0.828663 0.957663 0.800835 0.972447 1_6013 ka 2 pulmonic velar a initial s08 question new 94.54 48.64 122.97 a 15.33 
geo020s08a0007v02 0.818329 0.947329 0.757004 0.977582 1_1681 pa 2 pulmonic labial a initial s08 answer new 94.54 81.32 139.25  26.48 
geo020s08a0008v01 0.809288 0.938288 0.749358 0.961481 1_5436 pa 2 pulmonic labial a initial s08 question new 94.54 79.93 132.19 a 49.63 
geo020s08a0008v02 0.718602 0.847602 0.651875 0.875807 1_8957 pa 2 pulmonic labial a initial s08 answer echo 94.54 86.73 137.20  140.31 
geo020s08a0009v01 0.864113 0.993113 0.826990 1.004979 1_4856 k>a 3 ejective velar a initial s08 question new 62.24 58.64 119.35 a 18.83 
geo020s08a0011v01 1.143812 1.272812 1.116563 1.312248 2_8028 k>a 2 ejective velar a medial s08 question new 148.44 49.72 145.97 a 15.94 
geo020s08a0011v02 1.041687 1.170687 1.009392 1.165079 2_1377 t>i 3 ejective coronal i medial s08 answer new 68.36 54.74 100.95  118.09 
geo020s08a0011v02 1.110047 1.239047 1.165079 1.389090 3_7495 k>a 3 ejective velar a medial s08 answer new 90.29 55.17 168.84  -38.02 
geo020s08a0012v01 1.021338 1.150338 0.976847 1.144974 2_6838 t>i 3 ejective coronal i medial s08 question new 36.71 64.49 103.64 i 18.64 
geo020s08a0012v01 1.164180 1.293180 1.144974 1.283368 3_3826 k>a 3 ejective velar a medial s08 question new 99.19 39.21 99.19 a 36.38 
geo020s08a0012v02 0.895933 1.024933 0.843801 1.015255 2_4719 t>i 3 ejective coronal i medial s08 answer echo 37.27 84.23 87.22  292.53 
geo020s08a0012v02 1.043624 1.172624 1.015255 1.218020 3_1280 k>a 3 ejective velar a medial s08 answer echo 50.36 70.24 132.53  135.07 
geo020s08a0013v01 0.609962 0.738962 0.553685 0.729623 1_4615 t>e 2 ejective coronal e initial s08 question new 42.05 78.67 97.26 e 12.71 
geo020s08a0015v02 0.777010 0.906010 0.712140 0.962251 1_7652 t>a 2 ejective coronal a initial s08 answer new 68.37 88.22 161.89 a 55.69 
geo020s08a0016v01 0.708639 0.837639 0.643325 0.879655 1_2479 t>a 2 ejective coronal a initial s08 question new 65.75 89.51 146.82 a 28.55 
geo020s08a0016v02 0.861249 0.990249 0.782314 1.026471 1_317 t>a 2 ejective coronal a initial s08 answer echo 77.84 102.07 142.08 a 59.80 
geo020s08a0019v01 0.611026 0.740026 0.576485 0.752007 1_7987 k>a 3 ejective velar a initial s08 question new 45.12 83.33 92.19 a 1.22 
geo020s08a0019v01 0.802033 0.931033 0.752007 0.951328 2_9221 k>a 3 ejective velar a medial s08 question new 64.84 71.14 128.18 a 41.89 
geo020s08a0021v01 0.776368 0.905368 0.753131 0.938117 1_7915 k>a 3 ejective velar a initial s08 question new 64.58 47.61 137.38 a 52.65 
geo020s08a0023v01 0.756105 0.885105 0.656796 0.913126 1_6481 p>a 2 ejective labial a initial s08 question new 70.97 122.04 134.29 a 14.62 
geo020s08a0023v02 0.758793 0.887793 0.681178 0.913307 1_2227 po 3 pulmonic labial o initial s08 answer new 70.97 97.62 134.51 o 69.08 
geo020s08a0024v01 0.655620 0.784620 0.597118 0.797138 1_2653 po 3 pulmonic labial o initial s08 question new 70.97 78.50 121.52 o 66.06 
geo020s08a0024v02 0.614861 0.743861 0.554324 0.754418 1_5953 po 3 pulmonic labial o initial s08 answer echo 70.97 80.54 119.56 o 74.18 
geo020s08a0025v02 0.730630 0.859630 0.683262 0.851704 1_9625 t>i 3 ejective coronal i initial s08 answer new 50.40 70.52 97.92 i 13.66 
geo020s08a0025v02 0.909482 1.038482 0.851704 1.044851 2_3617 t>u 3 ejective coronal u medial s08 answer new 41.58 80.14 113.01  -164.40 
geo020s08a0026v01 0.804971 0.933971 0.748401 0.916298 1_4528 t>i 3 ejective coronal i initial s08 question new 37.36 78.14 89.76 i 26.72 
