#file,onset,offset,#item,sequence,syllables,type,place,vowel,position,speaker,question,new,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24
geo020s08a0006v01,1.009134,1.138134,2,t>e,2,ejective,coronal,e,initial,s08,question,new,3.94618225,3.33939076,5.68679409,0.16216729,1.80875601,1.27622209,5.31118116,19.47633424,9.85771609,2.08080625,0.625048359999999,6.32623104,7.67899521,0.586756,0.748225,11.50702084,127.51378084,298.68826276,14.94982225,352.34668681,149.79556881,25.98144784,28.35882009,59.35469764
geo020s08a0006v02,0.815716,0.944716,3,t>e,2,ejective,coronal,e,initial,s08,answer,echo,61.23688516,13.653025,58.72923225,37.95545664,53.934336,24.65916964,33.75726201,3.98281849,0.47348161,24.85820164,21.61785025,15.11187876,2.82374416,2.39754256,10.29960649,5.31025936,0.39025009,11.64788641,4.38023041,1.320201,54.57958884,13.30206784,18.80696689,0.561750249999999
geo020s08a0007v01,0.828663,0.957663,4,ka,2,pulmonic,velar,a,initial,s08,question,new,1767.866116,118.43751241,1088.62383249,22.24631556,1170.939961,136.66779025,717.91307721,206.77289616,194.156356,0.36881329,371.61043984,85.1633665599999,9.33424704000004,41.70318084,1.203409,23.06688784,57.52008964,126.88445449,211.760704,198.37314025,34.04955904,4.23454084,3.42287001,4.68506025
geo020s08a0007v02,0.818329,0.947329,5,pa,2,pulmonic,labial,a,initial,s08,answer,new,32.75616289,229.60128676,61.32925969,61.03515625,29.46861225,0.823374760000002,169.04680324,0.381924,13.28238025,44.76145216,8.06900836,33.31944729,0.14523721,39.65346841,47.87117721,4.04975376,2.48661361,39.24521316,7.700625,249.85808761,158.43760384,49.21724025,10.69355401,78.41988025
geo020s08a0008v01,0.809288,0.938288,6,pa,2,pulmonic,labial,a,initial,s08,question,new,511.49250244,533.86413025,67.61937361,322.28148484,38.45612169,477.86834404,766.403856,31.32305089,8.85657600000002,195.37330176,230.05608976,121.01760064,0.000219039999999978,1.42253329,14.39215969,8.77166689,0.514088999999998,8.47101025,59.37473025,28.40570209,0.86285521,1.9321,4.678569,1.69598529
geo020s08a0008v02,0.718602,0.847602,7,pa,2,pulmonic,labial,a,initial,s08,answer,echo,322.60829769,21.88274841,25.31800489,106.60975504,68.88668004,21.47673649,3.99880009,23.4256,12.285025,0.00286224999999996,32.13075856,4.39698961,23.16785689,126.74706724,53.83450384,0.00675684000000005,72.64493824,151.79472025,224.65513225,35.45368849,12.26610529,44.74807236,42.69838336,1.45853929
geo020s08a0009v01,0.864113,0.993113,8,k>a,3,ejective,velar,a,initial,s08,question,new,302.64169156,439.98838081,258.71114025,77.898276,2.65298944000001,53.538489,170.75432929,149.54599521,82.81910025,6.14990401,19.17388944,8.86729284,115.73241241,60.69033216,9.88662249,3.56529924,8.51297329,7.67899521,0.00383161000000001,0.01008016,3.03177744,2.21503689,0.38353249,13.21686025
geo020s08a0013v01,0.609962,0.738962,13,t>e,2,ejective,coronal,e,initial,s08,question,new,860.22543616,22.09376016,20.62340569,2.73439295999999,39.27027556,184.34579076,103.41262864,8.22255625,14.99625625,151.77747204,35.60986276,0.0966588099999979,77.20082496,235.12542244,222.11729296,104.32988164,35.52636816,0.377487360000004,105.27375609,496.90651396,29.55335769,113.36286784,265.88237481,339.53958756
geo020s08a0015v02,0.77701,0.90601,17,t>a,2,ejective,coronal,a,initial,s08,answer,new,19.62312804,28.783225,47.07194881,21.24841216,13.42049956,3.26597184,1.95692121,6.734025,35.97720361,1.555009,0.04609609,0.699063209999999,3.87105625,9.24889744,1.55800324,1.20758121,6.63835225,6.65382025,26.73820681,39.82619664,61.58325625,5.62258944,2.43640881,13.38754921
geo020s08a0016v01,0.708639,0.837639,18,t>a,2,ejective,coronal,a,initial,s08,question,new,438.023041,102.44476225,2.69714929,2.92204836,0.521284000000002,4.29359841,63.66922849,20.19333969,126.30163456,166.98066841,230.94576961,213.47839881,23.03520025,25.31397969,66.41924004,51.22694329,4.96754944,41.74839769,7.64135449,11.66427409,79.27587369,135.78075625,13.82724225,25.1753062500001
