#file,onset,offset,#item,sequence,syllables,type,place,vowel,position,speaker,question,new,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24
geo020s08a0006v01,1.009134,1.138134,2,t>e,2,ejective,coronal,e,initial,s08,question,new,-1.9865,-1.8274,-2.3847,0.4027,-1.3449,1.1297,2.3046,4.4132,3.1397,1.4425,0.7906,2.5152,2.7711,0.766,-0.865,-3.3922,-11.2922,-17.2826,3.8665,18.7709,12.2391,-5.0972,-5.3253,-7.7042
geo020s08a0006v02,0.815716,0.944716,3,t>e,2,ejective,coronal,e,initial,s08,answer,echo,7.8254,3.695,-7.6635,-6.1608,-7.344,-4.9658,-5.8101,1.9957,0.6881,4.9858,4.6495,3.8874,1.6804,-1.5484,-3.2093,-2.3044,-0.6247,-3.4129,2.0929,-1.149,7.3878,3.6472,4.3367,-0.749499999999999
geo020s08a0007v01,0.828663,0.957663,4,ka,2,pulmonic,velar,a,initial,s08,question,new,-42.046,-10.8829,32.9943,-4.7166,-34.219,-11.6905,-26.7939,14.3796,13.934,0.6073,-19.2772,-9.2284,-3.05520000000001,-6.4578,1.097,4.8028,7.5842,11.2643,14.552,14.0845,5.8352,-2.0578,1.8501,2.1645
geo020s08a0007v02,0.818329,0.947329,5,pa,2,pulmonic,labial,a,initial,s08,answer,new,5.7233,-15.1526,-7.8313,-7.8125,-5.4285,0.907400000000001,13.0018,-0.618,-3.6445,-6.6904,-2.8406,5.7723,-0.3811,-6.2971,6.9189,2.0124,1.5769,-6.2646,2.775,15.8069,12.5872,7.0155,-3.2701,-8.8555
geo020s08a0008v01,0.809288,0.938288,6,pa,2,pulmonic,labial,a,initial,s08,question,new,22.6162,23.1055,8.2231,-17.9522,-6.2013,-21.8602,-27.684,-5.5967,2.976,13.9776,15.1676,11.0008,-0.0147999999999993,-1.1927,3.7937,2.9617,-0.716999999999999,-2.9105,-7.7055,-5.3297,-0.9289,-1.39,-2.163,-1.3023
geo020s08a0008v02,0.718602,0.847602,7,pa,2,pulmonic,labial,a,initial,s08,answer,echo,17.9613,4.6779,-5.0317,-10.3252,-8.2998,-4.6343,1.9997,4.84,3.505,-0.0534999999999997,-5.6684,-2.0969,4.8133,11.2582,7.3372,0.0822000000000003,-8.5232,-12.3205,-14.9885,-5.9543,3.5023,6.6894,6.5344,1.2077
geo020s08a0009v01,0.864113,0.993113,8,k>a,3,ejective,velar,a,initial,s08,question,new,-17.3966,-20.9759,-16.0845,-8.826,1.6288,7.317,13.0673,12.2289,9.1005,2.4799,-4.3788,-2.9778,-10.7579,7.7904,3.1443,1.8882,-2.9177,-2.7711,0.0619000000000001,-0.1004,-1.7412,-1.4883,0.6193,3.6355
geo020s08a0013v01,0.609962,0.738962,13,t>e,2,ejective,coronal,e,initial,s08,question,new,29.3296,-4.7004,4.5413,-1.6536,6.2666,13.5774,10.1692,-2.8675,-3.8725,-12.3198,-5.9674,0.310899999999997,8.7864,15.3338,14.9036,10.2142,5.9604,-0.614400000000003,-10.2603,-22.2914,-5.4363,-10.6472,16.3059,18.4266
geo020s08a0015v02,0.77701,0.90601,17,t>a,2,ejective,coronal,a,initial,s08,answer,new,4.4298,-5.365,-6.8609,-4.6096,-3.6634,-1.8072,-1.3989,2.595,5.9981,1.247,0.2147,0.8361,-1.9675,-3.0412,-1.2482,-1.0989,-2.5765,-2.5795,5.1709,6.3108,7.8475,2.3712,-1.5609,-3.6589
geo020s08a0016v01,0.708639,0.837639,18,t>a,2,ejective,coronal,a,initial,s08,question,new,-20.929,-10.1215,-1.6423,1.7094,0.722000000000001,-2.0721,-7.9793,4.4937,11.2384,12.9221,15.1969,14.6109,4.7995,-5.0313,-8.1498,-7.1573,-2.2288,-6.4613,-2.7643,-3.4153,-8.9037,-11.6525,-3.7185,-5.01750000000001
geo020s08a0016v02,0.861249,0.990249,19,t>a,2,ejective,coronal,a,initial,s08,answer,echo,2.7848,-1.2204,-3.7524,-8.3964,-19.0137,-19.316,0.109900000000003,32.0937,12.7356,10.5902,0.742899999999999,-16.5949,-26.4745,30.8951,-16.5943,38.1954,13.3303,5.5856,-10.537,-10.827,-14.2707,-20.0692,-7.5119,23.4343
geo020s08a0019v01,0.611026,0.740026,21,k>a,3,ejective,velar,a,initial,s08,question,new,1.4718,3.2659,-8.6143,13.5748,10.7484,4.4847,-7.8219,-7.3951,-9.599,-7.2593,-5.3575,5.9538,9.1184,11.8456,4.9146,6.0647,4.4651,-3.6535,-3.8462,-12.7178,12.5296,29.7384,20.9408,13.2721
geo020s08a0021v01,0.776368,0.905368,22,k>a,3,ejective,velar,a,initial,s08,question,new,-14.1994,-11.8543,-4.8701,6.7533,13.768,15.6731,8.4221,-1.6908,-3.448,-4.831,-6.0947,-3.1053,-4.4525,-2.5061,-1.3407,4.3091,2.534,6.6503,1.2859,1.6987,-4.747,-5.6016,-3.6898,-1.6645
geo020s08a0023v01,0.756105,0.885105,23,p>a,2,ejective,labial,a,initial,s08,question,new,0.1263,-2.6845,-3.0015,-3.7951,-2.1662,3.8468,1.0075,-3.5148,-10.5368,-16.1472,5.7377,28.9172,28.1655,9.1916,-8.5296,-19.5741,-23.5389,-18.2943,-2.2363,15.3738,24.1139,22.0006,7.0789,-9.7072
geo020s08a0023v02,0.758793,0.887793,24,po,3,pulmonic,labial,o,initial,s08,answer,new,-12.1414,1.1305,9.568,4.0974,5.3229,6.74,3.58,4.2588,-0.0085999999999995,-4.2775,-6.1891,-3.7008,1.6751,1.3134,0.3587,4.7915,4.9799,-2.6055,2.3333,1.4128,-3.3294,-3.7849,-6.7605,-1.452
geo020s08a0024v01,0.65562,0.78462,25,po,3,pulmonic,labial,o,initial,s08,question,new,-1.0331,-2.1164,-6.2596,-3.7767,-0.4301,-0.0808,-2.6372,-1.7956,0.3494,-0.919999999999999,7.1541,-1.1567,-0.6433,-2.855,-0.3066,2.9633,4.6495,2.9996,0.0122000000000004,2.6445,-1.7079,-1.6232,-1.4342,3.6951
