type_2	type_1	by	score	n
pulmonic	ejective	('velar','initial','question','s08','e')	0.619047619048	42
ejective	pulmonic	('labial','initial','question','s09','a')	0.595652173913	690
pulmonic	ejective	('labial','initial','question','s09','a')	0.787549407115	3036
ejective	pulmonic	('coronal','initial','answer','s09','e')	1.0	14
pulmonic	ejective	('coronal','initial','answer','s09','e')	0.654761904762	84
ejective	pulmonic	('coronal','initial','answer','s08','e')	1.0	12
pulmonic	ejective	('coronal','initial','answer','s08','e')	0.25	60
ejective	pulmonic	('coronal','initial','question','s09','o')	0.75	4
pulmonic	ejective	('coronal','initial','question','s09','o')	1.0	4
ejective	pulmonic	('labial','initial','answer','s08','a')	0.896331738437	2508
pulmonic	ejective	('labial','initial','answer','s08','a')	0.516081871345	4104
ejective	pulmonic	('coronal','initial','question','s08','o')	0.5	2
ejective	pulmonic	('labial','initial','question','s08','a')	0.944628099174	2420
pulmonic	ejective	('labial','initial','question','s08','a')	0.655253837072	5082
ejective	pulmonic	('velar','initial','answer','s08','e')	1.0	14
pulmonic	ejective	('velar','initial','answer','s08','e')	0.928571428571	84
ejective	pulmonic	('velar','initial','answer','s09','e')	0.5	14
pulmonic	ejective	('velar','initial','answer','s09','e')	0.595238095238	84
ejective	pulmonic	('coronal','initial','question','s08','e')	0.5	16
pulmonic	ejective	('coronal','initial','question','s08','e')	0.741071428571	112
ejective	pulmonic	('coronal','initial','question','s09','e')	1.0	16
pulmonic	ejective	('coronal','initial','question','s09','e')	0.776785714286	112
pulmonic	ejective	('velar','initial','question','s08','a')	0.342105263158	342
ejective	pulmonic	('labial','initial','answer','s09','a')	0.517857142857	1120
pulmonic	ejective	('labial','initial','answer','s09','a')	0.634539473684	3040
ejective	pulmonic	('coronal','initial','answer','s08','o')	1.0	4
pulmonic	ejective	('coronal','initial','answer','s08','o')	1.0	4
ejective	pulmonic	('velar','initial','question','s09','e')	1.0	16
pulmonic	ejective	('velar','initial','question','s09','e')	0.741071428571	112
