type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.547619047619	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.547101449275	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.470355731225	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.5	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.595238095238	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	0.464285714286	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.375	84
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	0.5	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.489832535885	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.544346978558	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.5	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.511157024793	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.445985832349	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	0.535714285714	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.47619047619	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.464285714286	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.446428571429	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	0.125	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.553571428571	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.5	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.46875	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.385964912281	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.494196428571	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.476644736842	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	0.5	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.5	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.5	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.553571428571	112
