#file onset_f offset_f onset_v offset_v item sequence syllables type place vowel position speaker question new bad_vot constriction vowelduration check_vowel good_vot 
geo020s08a0005v02 0.809773 0.938773 0.757926 0.968888 1_3954 t>e 2 ejective coronal e initial s08 answer new 60.63 74.03 136.94 e 52.28 
geo020s08a0006v01 1.009134 1.138134 0.956625 1.142602 1_4303 t>e 2 ejective coronal e initial s08 question new 64.47 74.01 111.97 e 19.88 
geo020s08a0006v02 0.815716 0.944716 0.759330 0.977385 1_2974 t>e 2 ejective coronal e initial s08 answer echo 94.54 78.24 139.82 e 78.23 
geo020s08a0007v01 0.828663 0.957663 0.800835 0.972447 1_756 ka 2 pulmonic velar a initial s08 question new 94.54 48.64 122.97 a 16.14 
geo020s08a0007v02 0.818329 0.947329 0.757004 0.977582 1_542 pa 2 pulmonic labial a initial s08 answer new 94.54 81.32 139.25 a 67.08 
geo020s08a0008v01 0.809288 0.938288 0.749358 0.961481 1_4747 pa 2 pulmonic labial a initial s08 question new 94.54 79.93 132.19 a 49.63 
geo020s08a0008v02 0.718602 0.847602 0.651875 0.875807 1_4132 pa 2 pulmonic labial a initial s08 answer echo 94.54 86.73 137.20 a 68.13 
geo020s08a0009v01 0.864113 0.993113 0.826990 1.004979 1_7446 k>a 3 ejective velar a initial s08 question new 62.24 58.64 119.35 a 18.76 
geo020s08a0011v01 1.143812 1.272812 1.116563 1.312248 2_4215 k>a 2 ejective velar a medial s08 question new 148.44 49.72 145.97 a 18.41 
geo020s08a0011v02 1.041687 1.170687 1.009392 1.165079 2_7087 t>i 3 ejective coronal i medial s08 answer new 68.36 54.74 100.95 i 40.77 
geo020s08a0011v02 1.110047 1.239047 1.165079 1.389090 3_8790 k>a 3 ejective velar a medial s08 answer new 90.29 55.17 168.84  -27.59 
geo020s08a0012v01 1.021338 1.150338 0.976847 1.144974 2_6753 t>i 3 ejective coronal i medial s08 question new 36.71 64.49 103.64 i 18.64 
geo020s08a0012v01 1.164180 1.293180 1.144974 1.283368 3_7911 k>a 3 ejective velar a medial s08 question new 99.19 39.21 99.19 a 36.38 
geo020s08a0012v02 0.895933 1.024933 0.843801 1.015255 2_2237 t>i 3 ejective coronal i medial s08 answer echo 37.27 84.23 87.22 i 29.44 
geo020s08a0012v02 1.043624 1.172624 1.015255 1.218020 3_81 k>a 3 ejective velar a medial s08 answer echo 50.36 70.24 132.53 a 44.85 
geo020s08a0013v01 0.609962 0.738962 0.553685 0.729623 1_6873 t>e 2 ejective coronal e initial s08 question new 42.05 78.67 97.26 e 15.11 
geo020s08a0015v02 0.777010 0.906010 0.712140 0.962251 1_9361 t>a 2 ejective coronal a initial s08 answer new 68.37 88.22 161.89 a 23.77 
geo020s08a0016v01 0.708639 0.837639 0.643325 0.879655 1_3137 t>a 2 ejective coronal a initial s08 question new 65.75 89.51 146.82 a 12.91 
geo020s08a0016v02 0.861249 0.990249 0.782314 1.026471 1_3714 t>a 2 ejective coronal a initial s08 answer echo 77.84 102.07 142.08 a 24.78 
geo020s08a0019v01 0.611026 0.740026 0.576485 0.752007 1_4690 k>a 3 ejective velar a initial s08 question new 45.12 83.33 92.19 a 30.01 
geo020s08a0019v01 0.802033 0.931033 0.752007 0.951328 2_8732 k>a 3 ejective velar a medial s08 question new 64.84 71.14 128.18 a 43.00 
geo020s08a0021v01 0.776368 0.905368 0.753131 0.938117 1_7362 k>a 3 ejective velar a initial s08 question new 64.58 47.61 137.38 a 24.23 
geo020s08a0023v01 0.756105 0.885105 0.656796 0.913126 1_1570 p>a 2 ejective labial a initial s08 question new 70.97 122.04 134.29 a 13.32 
geo020s08a0023v02 0.758793 0.887793 0.681178 0.913307 1_2984 po 3 pulmonic labial o initial s08 answer new 70.97 97.62 134.51 o 69.08 
geo020s08a0024v01 0.655620 0.784620 0.597118 0.797138 1_2046 po 3 pulmonic labial o initial s08 question new 70.97 78.50 121.52 o 66.06 
