type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.5	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.63768115942	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.409090909091	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.642857142857	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.392857142857	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	0.833333333333	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.183333333333	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	0.5	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	0.75	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.481658692185	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.487329434698	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.0	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.501239669421	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.532861078316	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	0.357142857143	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.5	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.714285714286	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.357142857143	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.392857142857	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.625	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.357142857143	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.277777777778	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.583035714286	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.549013157895	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	0.5	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.75	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.5	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.258928571429	112
