type_2	type_1	by	score	n
pulmonic	ejective	('velar','initial','question','s08','e')	0.619047619048	42
ejective	pulmonic	('labial','initial','question','s09','a')	0.415942028986	690
pulmonic	ejective	('labial','initial','question','s09','a')	0.512845849802	3036
ejective	pulmonic	('coronal','initial','answer','s09','e')	0.785714285714	14
pulmonic	ejective	('coronal','initial','answer','s09','e')	0.297619047619	84
ejective	pulmonic	('coronal','initial','answer','s08','e')	0.416666666667	12
pulmonic	ejective	('coronal','initial','answer','s08','e')	0.366666666667	60
ejective	pulmonic	('coronal','initial','question','s09','o')	1.0	4
pulmonic	ejective	('coronal','initial','question','s09','o')	0.25	4
ejective	pulmonic	('labial','initial','answer','s08','a')	0.478468899522	2508
pulmonic	ejective	('labial','initial','answer','s08','a')	0.478557504873	4104
ejective	pulmonic	('coronal','initial','question','s08','o')	1.0	2
ejective	pulmonic	('labial','initial','question','s08','a')	0.511157024793	2420
pulmonic	ejective	('labial','initial','question','s08','a')	0.577922077922	5082
ejective	pulmonic	('velar','initial','answer','s08','e')	0.642857142857	14
pulmonic	ejective	('velar','initial','answer','s08','e')	0.5	84
ejective	pulmonic	('velar','initial','answer','s09','e')	0.714285714286	14
pulmonic	ejective	('velar','initial','answer','s09','e')	0.75	84
ejective	pulmonic	('coronal','initial','question','s08','e')	0.0	16
pulmonic	ejective	('coronal','initial','question','s08','e')	0.4375	112
ejective	pulmonic	('coronal','initial','question','s09','e')	0.75	16
pulmonic	ejective	('coronal','initial','question','s09','e')	0.5625	112
pulmonic	ejective	('velar','initial','question','s08','a')	0.520467836257	342
ejective	pulmonic	('labial','initial','answer','s09','a')	0.53125	1120
pulmonic	ejective	('labial','initial','answer','s09','a')	0.505263157895	3040
ejective	pulmonic	('coronal','initial','answer','s08','o')	0.75	4
pulmonic	ejective	('coronal','initial','answer','s08','o')	1.0	4
ejective	pulmonic	('velar','initial','question','s09','e')	0.125	16
pulmonic	ejective	('velar','initial','question','s09','e')	0.544642857143	112
