type_2	type_1	by	score	n
pulmonic	ejective	('velar','initial','question','s08','e')	0.809523809524	42
ejective	pulmonic	('labial','initial','question','s09','a')	0.94347826087	690
pulmonic	ejective	('labial','initial','question','s09','a')	0.884387351779	3036
ejective	pulmonic	('coronal','initial','answer','s09','e')	1.0	14
pulmonic	ejective	('coronal','initial','answer','s09','e')	0.880952380952	84
ejective	pulmonic	('coronal','initial','answer','s08','e')	1.0	14
pulmonic	ejective	('coronal','initial','answer','s08','e')	1.0	84
ejective	pulmonic	('coronal','initial','question','s09','o')	1.0	4
pulmonic	ejective	('coronal','initial','question','s09','o')	1.0	4
ejective	pulmonic	('labial','initial','answer','s08','a')	0.973684210526	2508
pulmonic	ejective	('labial','initial','answer','s08','a')	0.841861598441	4104
ejective	pulmonic	('coronal','initial','question','s08','o')	0.5	2
ejective	pulmonic	('labial','initial','question','s08','a')	0.994214876033	2420
pulmonic	ejective	('labial','initial','question','s08','a')	0.846123573396	5082
ejective	pulmonic	('velar','initial','answer','s08','e')	1.0	14
pulmonic	ejective	('velar','initial','answer','s08','e')	0.630952380952	84
ejective	pulmonic	('velar','initial','answer','s09','e')	1.0	14
pulmonic	ejective	('velar','initial','answer','s09','e')	0.821428571429	84
ejective	pulmonic	('coronal','initial','question','s08','e')	1.0	16
pulmonic	ejective	('coronal','initial','question','s08','e')	1.0	112
ejective	pulmonic	('coronal','initial','question','s09','e')	1.0	16
pulmonic	ejective	('coronal','initial','question','s09','e')	0.866071428571	112
pulmonic	ejective	('velar','initial','question','s08','a')	0.865497076023	342
ejective	pulmonic	('labial','initial','answer','s09','a')	0.940178571429	1120
pulmonic	ejective	('labial','initial','answer','s09','a')	0.785197368421	3040
ejective	pulmonic	('coronal','initial','answer','s08','o')	1.0	4
pulmonic	ejective	('coronal','initial','answer','s08','o')	1.0	4
ejective	pulmonic	('velar','initial','question','s09','e')	1.0	16
pulmonic	ejective	('velar','initial','question','s09','e')	0.723214285714	112
