type_2	type_1	by	score	n
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'question')	0.5	16
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'question')	0.741071428571	112
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'question')	0.944628099174	2420
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'question')	0.655253837072	5082
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'answer')	0.5	14
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'answer')	0.595238095238	84
ejective	pulmonic	('coronal', 'o', 'initial', 's09', 'question')	0.75	4
pulmonic	ejective	('coronal', 'o', 'initial', 's09', 'question')	1.0	4
pulmonic	ejective	('velar', 'a', 'initial', 's08', 'question')	0.342105263158	342
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'answer')	0.896331738437	2508
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'answer')	0.516081871345	4104
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'question')	0.5	2
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'answer')	0.517857142857	1120
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'answer')	0.634539473684	3040
ejective	pulmonic	('velar', 'e', 'initial', 's08', 'answer')	1.0	14
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'answer')	0.928571428571	84
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'question')	0.595652173913	690
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'question')	0.787549407115	3036
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'question')	1.0	16
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'question')	0.741071428571	112
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'answer')	1.0	12
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'answer')	0.25	60
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'question')	0.619047619048	42
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
pulmonic	ejective	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'question')	1.0	16
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'question')	0.776785714286	112
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'answer')	1.0	14
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'answer')	0.654761904762	84
