type_2	type_1	by	score	n
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'question')	1.0	16
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'question')	0.991071428571	112
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'question')	0.942148760331	2420
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'question')	0.817985045258	5082
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'answer')	1.0	14
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'answer')	0.761904761905	84
ejective	pulmonic	('coronal', 'o', 'initial', 's09', 'question')	1.0	4
pulmonic	ejective	('coronal', 'o', 'initial', 's09', 'question')	1.0	4
pulmonic	ejective	('velar', 'a', 'initial', 's08', 'question')	0.929824561404	342
ejective	pulmonic	('labial', 'a', 'initial', 's08', 'answer')	0.835326953748	2508
pulmonic	ejective	('labial', 'a', 'initial', 's08', 'answer')	0.878411306043	4104
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'question')	0.0	2
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'answer')	0.916071428571	1120
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'answer')	0.745723684211	3040
ejective	pulmonic	('velar', 'e', 'initial', 's08', 'answer')	1.0	14
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'answer')	0.595238095238	84
ejective	pulmonic	('labial', 'a', 'initial', 's09', 'question')	0.865217391304	690
pulmonic	ejective	('labial', 'a', 'initial', 's09', 'question')	0.845520421607	3036
ejective	pulmonic	('velar', 'e', 'initial', 's09', 'question')	1.0	16
pulmonic	ejective	('velar', 'e', 'initial', 's09', 'question')	0.857142857143	112
ejective	pulmonic	('coronal', 'e', 'initial', 's08', 'answer')	1.0	14
pulmonic	ejective	('coronal', 'e', 'initial', 's08', 'answer')	1.0	84
pulmonic	ejective	('velar', 'e', 'initial', 's08', 'question')	0.880952380952	42
ejective	pulmonic	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
pulmonic	ejective	('coronal', 'o', 'initial', 's08', 'answer')	1.0	4
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'question')	1.0	16
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'question')	0.821428571429	112
ejective	pulmonic	('coronal', 'e', 'initial', 's09', 'answer')	1.0	14
pulmonic	ejective	('coronal', 'e', 'initial', 's09', 'answer')	0.654761904762	84
