type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.261904761905	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.573913043478	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.476943346509	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	0.214285714286	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.547619047619	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	0.75	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.433333333333	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	0.25	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.521132376396	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.430068226121	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	1.0	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.504958677686	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.471664698937	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	0.785714285714	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.345238095238	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.928571428571	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.52380952381	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.4375	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.8125	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.5	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.497076023392	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.558928571429	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.464144736842	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	0.25	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.75	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.75	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.491071428571	112
