type_2	type_1	by	score	n
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'i')	1.0	8
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'i')	0.833333333333	24
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'i')	1.0	8
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'i')	0.833333333333	24
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.0	2
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.678571428571	84
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'a')	0.690476190476	42
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	1.0	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.801169590643	342
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.875	112
ejective	pulmonic	('velar', 'medial', 'answer', 's08', 'i')	1.0	10
pulmonic	ejective	('velar', 'medial', 'answer', 's08', 'i')	0.85	40
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.714285714286	84
ejective	pulmonic	('labial', 'medial', 'answer', 's09', 'a')	0.833333333333	36
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'a')	0.666666666667	24
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.999173553719	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.938803620622	5082
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.984821428571	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.724342105263	3040
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'i')	0.666666666667	6
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'a')	0.555555555556	36
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'a')	0.416666666667	24
pulmonic	ejective	('velar', 'medial', 'question', 's08', 'i')	0.35	20
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('velar', 'medial', 'answer', 's09', 'i')	1.0	2
pulmonic	ejective	('velar', 'medial', 'question', 's09', 'i')	0.5	12
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'i')	1.0	8
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'i')	1.0	24
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.785714285714	42
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	1.0	84
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	1.0	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.868908382066	4104
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.678571428571	84
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.776785714286	112
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.947826086957	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.828722002635	3036
