type_2	type_1	vowel_1	vowel_2	by	score	n
ejective	pulmonic	a	o	('labial', 'initial', 'answer', 's09')	0.402083333333	480
ejective	pulmonic	a	u	('labial', 'initial', 'answer', 's09')	0.50625	320
pulmonic	ejective	a	e	('labial', 'initial', 'answer', 's09')	0.71875	320
pulmonic	ejective	a	i	('labial', 'initial', 'answer', 's09')	0.49375	480
ejective	pulmonic	e	o	('coronal', 'initial', 'answer', 's08')	0.642857142857	28
ejective	pulmonic	o	e	('coronal', 'initial', 'answer', 's08')	1.0	8
pulmonic	ejective	e	a	('coronal', 'initial', 'answer', 's08')	0.5	154
pulmonic	ejective	e	i	('coronal', 'initial', 'answer', 's08')	0.642857142857	42
pulmonic	ejective	e	o	('coronal', 'initial', 'answer', 's08')	0.714285714286	28
pulmonic	ejective	o	a	('coronal', 'initial', 'answer', 's08')	0.5	44
pulmonic	ejective	o	e	('coronal', 'initial', 'answer', 's08')	0.571428571429	28
pulmonic	ejective	o	i	('coronal', 'initial', 'answer', 's08')	0.916666666667	12
ejective	pulmonic	a	o	('labial', 'initial', 'question', 's08')	0.731404958678	1210
ejective	pulmonic	a	u	('labial', 'initial', 'question', 's08')	0.797520661157	484
pulmonic	ejective	a	e	('labial', 'initial', 'question', 's08')	0.652892561983	484
pulmonic	ejective	a	i	('labial', 'initial', 'question', 's08')	0.553719008264	1210
ejective	pulmonic	a	o	('labial', 'initial', 'answer', 's08')	0.594298245614	912
ejective	pulmonic	a	u	('labial', 'initial', 'answer', 's08')	0.629385964912	456
pulmonic	ejective	a	i	('labial', 'initial', 'answer', 's08')	0.611842105263	912
ejective	pulmonic	e	o	('velar', 'initial', 'question', 's09')	0.21875	32
pulmonic	ejective	e	a	('velar', 'initial', 'question', 's09')	0.502840909091	352
ejective	pulmonic	e	o	('velar', 'initial', 'answer', 's09')	0.571428571429	28
pulmonic	ejective	e	a	('velar', 'initial', 'answer', 's09')	0.420168067227	238
ejective	pulmonic	e	o	('coronal', 'initial', 'question', 's09')	0.65625	32
ejective	pulmonic	o	e	('coronal', 'initial', 'question', 's09')	0.5	8
pulmonic	ejective	e	a	('coronal', 'initial', 'question', 's09')	0.239583333333	192
pulmonic	ejective	e	i	('coronal', 'initial', 'question', 's09')	0.34375	64
pulmonic	ejective	e	o	('coronal', 'initial', 'question', 's09')	0.40625	32
pulmonic	ejective	o	a	('coronal', 'initial', 'question', 's09')	0.604166666667	48
pulmonic	ejective	o	e	('coronal', 'initial', 'question', 's09')	0.5	32
pulmonic	ejective	o	i	('coronal', 'initial', 'question', 's09')	0.3125	16
ejective	pulmonic	a	e	('velar', 'initial', 'question', 's08')	0.0526315789474	19
ejective	pulmonic	a	o	('velar', 'initial', 'question', 's08')	0.0526315789474	38
ejective	pulmonic	e	a	('velar', 'initial', 'question', 's08')	0.0	7
ejective	pulmonic	e	o	('velar', 'initial', 'question', 's08')	0.928571428571	14
pulmonic	ejective	a	e	('velar', 'initial', 'question', 's08')	0.962406015038	133
pulmonic	ejective	e	a	('velar', 'initial', 'question', 's08')	0.751879699248	133
pulmonic	ejective	e	a	('coronal', 'initial', 'answer', 's09')	0.5	140
pulmonic	ejective	e	i	('coronal', 'initial', 'answer', 's09')	0.178571428571	28
ejective	pulmonic	e	o	('velar', 'initial', 'answer', 's08')	0.857142857143	28
pulmonic	ejective	e	a	('velar', 'initial', 'answer', 's08')	0.552631578947	266
ejective	pulmonic	a	o	('labial', 'initial', 'question', 's09')	0.534420289855	552
pulmonic	ejective	a	e	('labial', 'initial', 'question', 's09')	0.413043478261	414
pulmonic	ejective	a	i	('labial', 'initial', 'question', 's09')	0.486956521739	690
ejective	pulmonic	e	o	('coronal', 'initial', 'question', 's08')	0.71875	32
ejective	pulmonic	o	e	('coronal', 'initial', 'question', 's08')	1.0	4
pulmonic	ejective	e	a	('coronal', 'initial', 'question', 's08')	0.598958333333	192
pulmonic	ejective	e	i	('coronal', 'initial', 'question', 's08')	0.583333333333	48
pulmonic	ejective	e	o	('coronal', 'initial', 'question', 's08')	0.8125	16
pulmonic	ejective	o	a	('coronal', 'initial', 'question', 's08')	0.541666666667	24
pulmonic	ejective	o	e	('coronal', 'initial', 'question', 's08')	0.8125	16
pulmonic	ejective	o	i	('coronal', 'initial', 'question', 's08')	0.666666666667	6
