type_2	type_1	by	score	n
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.357142857143	42
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.586956521739	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.397891963109	3036
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.369047619048	84
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	0.928571428571	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.738095238095	84
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	0.25	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	0.25	4
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.560207336523	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.427144249513	4104
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	1.0	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.632644628099	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.409878000787	5082
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	0.785714285714	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.571428571429	84
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	0.285714285714	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.440476190476	84
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	0.642857142857	112
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	0.5625	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.366071428571	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.614035087719	342
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.374107142857	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.622039473684	3040
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	0.5	4
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	0.75	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.553571428571	112
