type_2	type_1	by	score	n
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'i')	0.625	8
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'i')	1.0	24
ejective	pulmonic	('velar', 'medial', 'answer', 's08', 'i')	0.7	10
pulmonic	ejective	('velar', 'medial', 'answer', 's08', 'i')	0.925	40
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.847222222222	72
pulmonic	ejective	('velar', 'medial', 'question', 's08', 'i')	0.766666666667	30
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	1.0	60
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'i')	0.75	8
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'i')	0.291666666667	24
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.638085399449	2904
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.760642135642	5544
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.5	2
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.675524475524	2860
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.747832167832	7150
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'a')	0.642857142857	84
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'a')	1.0	14
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	18
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.826388888889	144
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'a')	0.633333333333	60
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'a')	0.25	12
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	1.0	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.760526315789	380
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
