#file,onset,offset,#item,sequence,syllables,type,place,vowel,position,speaker,question,new,time_0,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,time_21,time_22,time_23,time_24
geo020s08a0006v01,1.009134,1.138134,2,t>e,2,ejective,coronal,e,initial,s08,question,new,-1.0036,-2.9901,-4.8175,-7.2022,-6.7995,-8.1444,-7.0147,-4.7101,-0.2969,2.8428,4.2853,5.0759,7.5911,10.3622,11.1282,10.2632,6.871,-4.4212,-21.7038,-17.8373,0.9336,13.1727,8.0755,2.7502,-4.954
geo020s08a0006v02,0.815716,0.944716,3,t>e,2,ejective,coronal,e,initial,s08,answer,echo,8.7511,16.5765,20.2715,12.608,6.4472,-0.8968,-5.8626,-11.6727,-9.677,-8.9889,-4.0031,0.6464,4.5338,6.2142,4.6658,1.4565,-0.8479,-1.4726,-4.8855,-2.7926,-3.9416,3.4462,7.0934,11.4301,10.6806
geo020s08a0007v01,0.828663,0.957663,4,ka,2,pulmonic,velar,a,initial,s08,question,new,58.717,16.671,5.7881,38.7824,34.0658,-0.1532,-11.8437,-38.6376,-24.258,-10.324,-9.7167,-28.9939,-38.2223,-41.2775,-47.7353,-46.6383,-41.8355,-34.2513,-22.987,-8.435,5.6495,11.4847,9.4269,11.277,13.4415
geo020s08a0007v02,0.818329,0.947329,5,pa,2,pulmonic,labial,a,initial,s08,answer,new,19.5519,25.2752,10.1226,2.2913,-5.5212,-10.9497,-10.0423,2.9595,2.3415,-1.303,-7.9934,-10.834,-5.0617,-5.4428,-11.7399,-4.821,-2.8086,-1.2317,-7.4963,-4.7213,11.0856,23.6728,30.6883,27.4182,18.5627
geo020s08a0008v01,0.809288,0.938288,6,pa,2,pulmonic,labial,a,initial,s08,question,new,-8.9619,13.6543,36.7598,44.9829,27.0307,20.8294,-1.0308,-28.7148,-34.3115,-31.3355,-17.3579,-2.1903,8.8105,8.7957,7.603,11.3967,14.3584,13.6414,10.7309,3.0254,-2.3043,-3.2332,-4.6232,-6.7862,-8.0885
geo020s08a0008v02,0.718602,0.847602,7,pa,2,pulmonic,labial,a,initial,s08,answer,echo,0.3669,18.3282,23.0061,17.9744,7.6492,-0.6506,-5.2849,-3.2852,1.5548,5.0598,5.0063,-0.6621,-2.759,2.0543,13.3125,20.6497,20.7319,12.2087,-0.1118,-15.1003,-21.0546,-17.5523,-10.8629,-4.3285,-3.1208
geo020s08a0009v01,0.864113,0.993113,8,k>a,3,ejective,velar,a,initial,s08,question,new,31.3309,13.9343,-7.0416,-23.1261,-31.9521,-30.3233,-23.0063,-9.939,2.2899,11.3904,13.8703,9.4915,6.5137,-4.2442,3.5462,6.6905,8.5787,5.661,2.8899,2.9518,2.8514,1.1102,-0.3781,0.2412,3.8767
geo020s08a0013v01,0.609962,0.738962,13,t>e,2,ejective,coronal,e,initial,s08,question,new,-53.3268,-23.9972,-28.6976,-24.1563,-25.8099,-19.5433,-5.9659,4.2033,1.3358,-2.5367,-14.8565,-20.8239,-20.513,-11.7266,3.6072,18.5108,28.725,34.6854,34.071,23.8107,1.5193,-3.917,-14.5642,1.7417,20.1683
geo020s08a0015v02,0.77701,0.90601,17,t>a,2,ejective,coronal,a,initial,s08,answer,new,12.2285,16.6583,11.2933,4.4324,-0.1772,-3.8406,-5.6478,-7.0467,-4.4517,1.5464,2.7934,3.0081,3.8442,1.8767,-1.1645,-2.4127,-3.5116,-6.0881,-8.6676,-3.4967,2.8141,10.6616,13.0328,11.4719,7.813
geo020s08a0016v01,0.708639,0.837639,18,t>a,2,ejective,coronal,a,initial,s08,question,new,3.3452,-17.5838,-27.7053,-29.3476,-27.6382,-26.9162,-28.9883,-36.9676,-32.4739,-21.2355,-8.3134,6.8835,21.4944,26.2939,21.2626,13.1128,5.9555,3.7267,-2.7346,-5.4989,-8.9142,-17.8179,-29.4704,-33.1889,-38.2064
