type_2	type_1	by	score	n
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'i')	1.0	8
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'i')	1.0	24
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'i')	1.0	8
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'i')	0.666666666667	24
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.0	2
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.488095238095	84
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'a')	0.690476190476	42
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	1.0	112
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.836257309942	342
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.8125	112
ejective	pulmonic	('velar', 'medial', 'answer', 's08', 'i')	1.0	10
pulmonic	ejective	('velar', 'medial', 'answer', 's08', 'i')	0.95	40
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.702380952381	84
ejective	pulmonic	('labial', 'medial', 'answer', 's09', 'a')	0.833333333333	36
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'a')	0.833333333333	24
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.985537190083	2420
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.919716646989	5082
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.975	1120
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.758223684211	3040
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'i')	0.5	6
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'a')	0.666666666667	36
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'a')	0.666666666667	24
pulmonic	ejective	('velar', 'medial', 'question', 's08', 'i')	0.45	20
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('velar', 'medial', 'answer', 's09', 'i')	1.0	2
pulmonic	ejective	('velar', 'medial', 'question', 's09', 'i')	0.0833333333333	12
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'i')	1.0	8
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'i')	1.0	24
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.761904761905	42
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	0.964285714286	84
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.996411483254	2508
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.873538011696	4104
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.702380952381	84
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.741071428571	112
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.988405797101	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.861001317523	3036
