type_2	type_1	by	score	n
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'i')	1.0	8
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'i')	0.583333333333	24
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'i')	0.75	8
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'i')	0.333333333333	24
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'o')	0.0	2
ejective	pulmonic	('velar', 'initial', 'answer', 's08', 'e')	1.0	18
pulmonic	ejective	('velar', 'initial', 'answer', 's08', 'e')	0.777777777778	144
ejective	pulmonic	('labial', 'medial', 'question', 's08', 'a')	0.483333333333	60
pulmonic	ejective	('labial', 'medial', 'question', 's08', 'a')	0.666666666667	12
ejective	pulmonic	('coronal', 'initial', 'question', 's08', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'question', 's08', 'e')	1.0	84
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'a')	0.732026143791	306
ejective	pulmonic	('velar', 'initial', 'question', 's09', 'e')	1.0	18
pulmonic	ejective	('velar', 'initial', 'question', 's09', 'e')	0.597222222222	144
ejective	pulmonic	('velar', 'medial', 'answer', 's08', 'i')	0.3	10
pulmonic	ejective	('velar', 'medial', 'answer', 's08', 'i')	0.675	40
ejective	pulmonic	('coronal', 'initial', 'answer', 's09', 'e')	1.0	14
pulmonic	ejective	('coronal', 'initial', 'answer', 's09', 'e')	0.571428571429	84
ejective	pulmonic	('labial', 'medial', 'answer', 's09', 'a')	0.361111111111	36
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'a')	0.708333333333	24
ejective	pulmonic	('labial', 'initial', 'question', 's08', 'a')	0.674181818182	2750
pulmonic	ejective	('labial', 'initial', 'question', 's08', 'a')	0.657727272727	6600
ejective	pulmonic	('labial', 'initial', 'answer', 's09', 'a')	0.822478991597	952
pulmonic	ejective	('labial', 'initial', 'answer', 's09', 'a')	0.645680147059	2176
pulmonic	ejective	('labial', 'medial', 'answer', 's09', 'i')	0.333333333333	6
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'a')	0.555555555556	36
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'a')	0.333333333333	24
pulmonic	ejective	('velar', 'medial', 'question', 's08', 'i')	0.566666666667	30
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'o')	1.0	4
pulmonic	ejective	('velar', 'medial', 'answer', 's09', 'i')	1.0	2
ejective	pulmonic	('labial', 'medial', 'question', 's09', 'i')	0.0	6
pulmonic	ejective	('labial', 'medial', 'question', 's09', 'i')	0.333333333333	12
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'o')	1.0	4
pulmonic	ejective	('velar', 'initial', 'question', 's08', 'e')	0.763888888889	72
ejective	pulmonic	('coronal', 'initial', 'answer', 's08', 'e')	1.0	12
pulmonic	ejective	('coronal', 'initial', 'answer', 's08', 'e')	1.0	60
ejective	pulmonic	('labial', 'initial', 'answer', 's08', 'a')	0.551322751323	1890
pulmonic	ejective	('labial', 'initial', 'answer', 's08', 'a')	0.827619047619	4200
ejective	pulmonic	('velar', 'initial', 'answer', 's09', 'e')	1.0	12
pulmonic	ejective	('velar', 'initial', 'answer', 's09', 'e')	0.383333333333	60
ejective	pulmonic	('coronal', 'initial', 'question', 's09', 'e')	1.0	16
pulmonic	ejective	('coronal', 'initial', 'question', 's09', 'e')	0.848214285714	112
ejective	pulmonic	('labial', 'medial', 'answer', 's08', 'a')	0.714285714286	84
pulmonic	ejective	('labial', 'medial', 'answer', 's08', 'a')	1.0	14
ejective	pulmonic	('labial', 'initial', 'question', 's09', 'a')	0.920289855072	690
pulmonic	ejective	('labial', 'initial', 'question', 's09', 'a')	0.723320158103	3036
