#file,onset,offset,#item,sequence,syllables,type,place,vowel,position,speaker,question,new,delta_1,delta_2,delta_3,delta_4,delta_5,delta_6,delta_7,delta_8,delta_9,delta_10,delta_11,delta_12,delta_13,delta_14,delta_15,delta_16,delta_17,delta_18,delta_19,delta_20,delta_21,delta_22,delta_23,delta_24
geo020s08a0006v01,1.009134,1.138134,2,t>e,2,ejective,coronal,e,initial,s08,question,new,0.686374296272517,0.602894191582383,0.86907333026504,-0.909563411124728,0.296319660847366,0.121952110750745,0.834907125597777,1.48460004990401,1.14412725395452,0.366377719400118,-0.234963128119553,2.5152,1.01924435328454,-0.266573109241546,-0.145025772050257,1.2214786784556,2.42411222188866,2.84970021502046,1.35234970506695,2.93230779830346,2.504635744969,1.62869136935599,1.67246904803673,2.04176563469883
geo020s08a0006v02,0.815716,0.944716,3,t>e,2,ejective,coronal,e,initial,s08,answer,echo,2.05737485333059,1.30698055440017,2.03646879845683,1.8182066392429,1.99388365331819,1.6025744124127,1.75959778241966,0.690994865991803,-0.373821102773702,1.60659387198237,1.53675968693611,3.8874,0.51903186031309,0.437222139721356,1.1660528448257,0.834820338876091,-0.470483744482613,1.22756236975902,0.738550664013795,0.138891998866619,1.99982999104474,1.29395974991709,1.46711369022184,-0.288348961439485
geo020s08a0007v01,0.828663,0.957663,4,ka,2,pulmonic,velar,a,initial,s08,question,new,3.73876425704293,2.38719275002887,3.49633481927468,1.55108820104563,3.53278104536026,2.45877654616896,3.28817424966898,2.66581053549433,2.63433189660793,-0.498732376078607,2.95892305041999,9.2284,1.11684505692917,1.86528870251617,0.0925791812930944,1.56919908117443,2.02606713591302,2.42163843258375,2.67772844121582,2.6450749019407,1.76390854107228,0.721637450959573,0.615239691683419,0.772189387899898
geo020s08a0007v02,0.818329,0.947329,5,pa,2,pulmonic,labial,a,initial,s08,answer,new,1.74454556211249,2.71817213439255,2.05812852431864,2.05572501506252,1.69166285268977,-0.0971719117522726,2.56508780941508,-0.481266821524446,1.29321918184013,1.90067366308518,1.04401529746489,5.7723,-0.964693471102323,1.84008920995856,1.9342567974566,0.699328039635026,0.455460894429404,1.83491473954198,1.0206507471984,2.76044655356412,2.53268042459284,1.94812198685191,1.18482056548133,2.18103873491455
geo020s08a0008v01,0.809288,0.938288,6,pa,2,pulmonic,labial,a,initial,s08,question,new,3.11866646364897,3.14007068442567,2.10694726692661,2.88771267009819,1.82475894749116,3.08466763183737,3.32085462897962,1.72217713832975,1.09058011697085,2.63745604824828,2.71916157385692,11.0008,-4.21312809821212,0.176219644602487,1.33334179616716,1.0857634277992,-0.332679438382518,1.06832488772965,2.0419343595933,1.67329495141545,-0.0737541885886619,0.3293037471426,0.771496146970922,0.26413193199152
geo020s08a0008v02,0.718602,0.847602,7,pa,2,pulmonic,labial,a,initial,s08,answer,echo,2.88821944332802,1.54284929127681,1.61575789917892,2.33458750911954,2.11623141812669,1.5334851628012,0.69299716930882,1.57691472072854,1.25419052048655,-2.92807362508018,1.73490689096858,2.0969,1.57138291956483,2.42109675202882,1.99295729845806,-2.49859997692,2.1427918571806,2.51126454169743,2.70728324039636,1.78411364761917,1.25341989552869,1.90052418401944,1.87708052954815,0.188717724299193
geo020s08a0009v01,0.864113,0.993113,8,k>a,3,ejective,velar,a,initial,s08,question,new,2.85627478482812,3.04337415965681,2.77785607534617,2.17770191084736,0.487843547374068,1.99020040790189,2.57011292634146,2.50380200289029,2.20832935706833,0.908218236783269,1.47677471424827,2.9778,2.37564036839978,2.0528922064463,1.1455912898621,0.635623994316279,1.07079563467133,1.01924435328454,-2.78223509929159,-2.29859307172451,0.554574530696005,0.397634528992976,-0.479165471038122,1.29074665310797
geo020s08a0013v01,0.609962,0.738962,13,t>e,2,ejective,coronal,e,initial,s08,question,new,3.37859724498296,1.54764761147765,1.51321331467708,0.50295472938542,1.83523394281333,2.60840664577361,2.31936354423286,1.05344057002139,1.35390029330889,2.51120772420737,1.78631132165433,0.310899999999997,2.173205071492,2.73005954214047,2.70160279450649,2.32377890900105,1.78513759291917,-0.487109097148669,2.32828207908123,3.10420095385969,1.69309868240408,2.36529694679021,2.79152700551003,2.91379527283975
geo020s08a0015v02,0.77701,0.90601,17,t>a,2,ejective,coronal,a,initial,s08,answer,new,1.48835443631104,1.67989637608266,1.92583862846772,1.52814108534813,1.29839167794398,0.591778686171657,0.335686213500248,0.953586516617852,1.79144275241191,0.220740666697899,-1.5385135740974,0.8361,0.676763701309421,1.11225217437214,0.221702513517806,0.0943096794707413,0.946431888786142,0.947595581702568,1.64304675460787,1.84226245140116,2.06019500973397,0.863396156119631,0.445262577982231,1.29716255579205
geo020s08a0016v01,0.708639,0.837639,18,t>a,2,ejective,coronal,a,initial,s08,question,new,3.04113575700784,2.3146618742195,0.496097698361377,0.53614243174978,-0.325730140089309,0.728562585780899,2.07685068831591,1.50267641586065,2.41933648557855,2.55893902384616,2.72109145968372,14.6109,1.56851174582146,1.61567840002356,2.09799338707436,1.9681328148823,0.801463324043404,1.86583053593887,1.01678743836578,1.22826533689497,2.18646692068326,2.45552074926476,1.31332036116122,1.61293180168836
geo020s08a0016v02,0.861249,0.990249,19,t>a,2,ejective,coronal,a,initial,s08,answer,echo,1.02417605751509,0.199178673860377,1.32239563526966,2.12780304255771,2.94515977196447,2.9609337680113,-2.20818441757253,3.46865974919188,2.54440122157364,2.35992904517625,-0.297193832824378,16.5949,3.27618200556787,3.43059759527741,2.80905926290234,3.64271508951343,2.59003963956378,1.72019185736863,2.35489287261739,2.38204301432876,2.65820848424499,2.99918630152551,2.01648842978328,3.15420076107577
geo020s08a0019v01,0.611026,0.740026,21,k>a,3,ejective,velar,a,initial,s08,question,new,0.38648614151036,1.18353537558595,2.15342361305124,2.60821513274646,2.37475690628701,1.50067160364144,2.0569274917975,2.00081761872177,2.2616589263814,1.98228340545534,1.67849744836559,5.9538,2.2102943500986,2.47195649061237,1.59221036676747,1.80248507703412,1.49629161049424,1.29568561224914,1.34708564789461,2.54300258697852,2.52809384501454,3.39243913998826,3.04169940910613,2.58566408751919
geo020s08a0021v01,0.776368,0.905368,22,k>a,3,ejective,velar,a,initial,s08,question,new,2.65319971019338,2.47269067095835,1.58311447076458,1.91003127430609,2.62234705890924,2.75194586705099,2.13085920333346,0.5252017897105,1.23779435280145,1.57505348557227,1.80741954104918,3.1053,1.49346573618168,0.918727759907572,0.293191865625378,1.46072906560508,0.929799081898947,1.89466196643217,0.251458862294256,0.529863252643129,1.55751283956918,1.72305227121826,1.30557225604153,0.509524778032943
geo020s08a0023v01,0.756105,0.885105,23,p>a,2,ejective,labial,a,initial,s08,question,new,-2.06909524962569,0.987494490880487,1.09911216370976,1.33371076096156,0.7729744804195,1.34724163385619,0.00747201483870084,1.25698262463955,2.3548738917027,2.78174666002455,1.74705843316692,28.9172,3.33809782471884,2.21829002349864,2.14354246708636,2.9742072638084,3.15865437176834,2.906589535919,0.804822714450534,2.73266476186613,3.18278843771795,3.09106972571369,1.95711852840325,2.2728678782059
geo020s08a0023v02,0.758793,0.887793,24,po,3,pulmonic,labial,o,initial,s08,answer,new,2.49662110023443,0.122660012735886,2.25842419720828,1.41035262621296,1.67201826761551,1.90805992492422,1.27536280041261,1.44898743045831,-4.75599307572273,1.45336872678421,1.82278968032583,3.7008,0.515872864987504,0.272619194774735,-1.0252688944439,1.56684351480168,1.60540981051366,0.957624595367132,0.847283574570876,0.345573550867559,1.20279210757777,1.33101946646114,1.91109685181668,0.372941916402604
geo020s08a0024v01,0.65562,0.78462,25,po,3,pulmonic,labial,o,initial,s08,question,new,0.0325639908732619,0.74971653204784,1.83411628530688,1.32885061245819,-0.843737539192447,-2.51577831345509,0.969717748257008,0.58533922792564,-1.05153788128218,-0.0833816089390521,1.96768561893315,1.1567,-0.441144100565182,1.04907184310797,-1.18221131254442,1.08630351220051,1.53675968693611,1.0984789464451,-4.40631932724289,0.972482011523897,0.535264545643009,0.484399509529468,0.360607202466337,1.30700761763341
