 file_A onset_A offset_A a a file_B onset_B offset_B a a "d(A, B)"
0 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 0.0
1 geo020s08a0071v01 0.856533 0.985533 0.690896917517 0.997322850451 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 0.0
2 geo020s08a0102v01 0.876868 1.005868 0.317362409322 0.988616154412 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 0.0
3 geo020s08a0136v01 0.788193 0.917193 0.844734445392 0.905392318709 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 0.0
4 geo020s08a0162v01 0.992887 1.121887 0.343346239774 0.797638803959 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 -2.22044604925e-16
5 geo020s08a0202v01 0.737522 0.866522 0.0987434018203 0.651304332341 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 0.0
6 geo020s08a0206v01 0.913288 1.042288 0.259698393298 0.257069298822 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 0.0
7 geo020s08a0027v01 0.80251 0.93151 0.280443992064 0.789279328451 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 0.0
8 geo020s08a0071v01 0.856533 0.985533 0.690896917517 0.997322850451 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 0.0
9 geo020s08a0102v01 0.876868 1.005868 0.317362409322 0.988616154412 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 0.0
10 geo020s08a0136v01 0.788193 0.917193 0.844734445392 0.905392318709 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 0.0
11 geo020s08a0162v01 0.992887 1.121887 0.343346239774 0.797638803959 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 0.0
12 geo020s08a0202v01 0.737522 0.866522 0.0987434018203 0.651304332341 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 0.0
13 geo020s08a0206v01 0.913288 1.042288 0.259698393298 0.257069298822 geo020s08a0067v01 0.879136 1.008136 0.408136802761 0.237026980243 0.0
